"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Paces","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:28    ","00:06:28    ","1","27","0","00:06:28    ","00:06:28    ","00:00:00    ","77","82","103","157","184","24","65"
"2","00:05:51    ","00:05:51    ","1","15","2","00:05:51    ","00:05:51    ","00:00:00    ","80","83","110","183","192","22","79"
"3","00:06:51    ","00:06:51    ","1","28","1","00:06:51    ","00:06:51    ","00:00:00    ","75","83","102","183","194","21","92"
"4","00:07:14    ","00:07:14    ","1","29","8","00:07:14    ","00:07:14    ","00:00:00    ","72","83","97","173","194","22","86"
"5","00:06:15    ","00:06:15    ","1","3","32","00:06:15    ","00:06:15    ","00:00:00    ","74","83","108","161","181","23","64"
"6","00:07:15    ","00:07:15    ","1","3","27","00:07:15    ","00:07:15    ","00:00:00    ","71","87","101","161","182","23","76"
"7","00:05:39    ","00:05:39    ","1","0","33","00:05:39    ","00:05:39    ","00:00:00    ","81","86","110","170","187","21","71"
"8","00:00:08    ","00:00:05    ","0.02","0","0","00:08:09    ","00:05:06    ","00:00:00    ","81","82","149","185","185","20","0"
"9","00:00:16    ","00:00:11    ","0.01","0","0","00:24:01    ","00:16:31    ","00:00:00    ","65","76","62","184","185","20","0"
"Summary","00:45:54    ","00:45:49    ","7.03","105","103","00:06:32    ","00:06:31    ","00:00:00    ","75","87","100","170","194","22","533"
